SGG_Code,SIDO_SGG,SIDO,SGG
2110101,서울 종로,서울,종로
2110201,서울 중구성동을,서울,중구성동을
2110301,서울 용산,서울,용산
2110402,서울 중구성동갑,서울,중구성동갑
2110501,서울 광진갑,서울,광진갑
2110502,서울 광진을,서울,광진을
2110601,서울 동대문갑,서울,동대문갑
2110602,서울 동대문을,서울,동대문을
2110701,서울 중랑갑,서울,중랑갑
2110702,서울 중랑을,서울,중랑을
2110801,서울 성북갑,서울,성북갑
2110802,서울 성북을,서울,성북을
2110901,서울 강북갑,서울,강북갑
2110902,서울 강북을,서울,강북을
2111001,서울 도봉갑,서울,도봉갑
2111002,서울 도봉을,서울,도봉을
2111101,서울 노원갑,서울,노원갑
2111102,서울 노원을,서울,노원을
2111201,서울 은평갑,서울,은평갑
2111202,서울 은평을,서울,은평을
2111301,서울 서대문갑,서울,서대문갑
2111302,서울 서대문을,서울,서대문을
2111401,서울 마포갑,서울,마포갑
2111402,서울 마포을,서울,마포을
2111501,서울 양천갑,서울,양천갑
2111502,서울 양천을,서울,양천을
2111601,서울 강서갑,서울,강서갑
2111602,서울 강서을,서울,강서을
2111603,서울 강서병,서울,강서병
2111701,서울 구로갑,서울,구로갑
2111702,서울 구로을,서울,구로을
2111801,서울 금천,서울,금천
2111901,서울 영등포갑,서울,영등포갑
2111902,서울 영등포을,서울,영등포을
2112001,서울 동작갑,서울,동작갑
2112002,서울 동작을,서울,동작을
2112101,서울 관악갑,서울,관악갑
2112102,서울 관악을,서울,관악을
2112201,서울 서초갑,서울,서초갑
2112202,서울 서초을,서울,서초을
2112301,서울 강남갑,서울,강남갑
2112302,서울 강남을,서울,강남을
2112303,서울 강남병,서울,강남병
2112401,서울 송파갑,서울,송파갑
2112402,서울 송파을,서울,송파을
2112403,서울 송파병,서울,송파병
2112501,서울 강동갑,서울,강동갑
2112502,서울 강동을,서울,강동을
2260201,부산 서구동구,부산,서구동구
2260401,부산 중구영도,부산,중구영도
2260501,부산 부산진갑,부산,부산진갑
2260502,부산 부산진을,부산,부산진을
2260601,부산 동래,부산,동래
2260703,부산 남구,부산,남구
2260802,부산 북구갑,부산,북구갑
2260803,부산 북구을,부산,북구을
2260902,부산 해운대갑,부산,해운대갑
2260903,부산 해운대을,부산,해운대을
2261002,부산 기장,부산,기장
2261101,부산 사하갑,부산,사하갑
2261102,부산 사하을,부산,사하을
2261201,부산 금정,부산,금정
2261302,부산 강서,부산,강서
2261401,부산 연제,부산,연제
2261501,부산 수영,부산,수영
2261601,부산 사상,부산,사상
2270203,대구 동구군위갑,대구,동구군위갑
2270204,대구 동구군위을,대구,동구군위을
2270301,대구 서구,대구,서구
2270401,대구 중구남구,대구,중구남구
2270501,대구 북구갑,대구,북구갑
2270502,대구 북구을,대구,북구을
2270601,대구 수성갑,대구,수성갑
2270602,대구 수성을,대구,수성을
2270701,대구 달서갑,대구,달서갑
2270702,대구 달서을,대구,달서을
2270703,대구 달서병,대구,달서병
2270801,대구 달성,대구,달성
2280101,인천 중구강화옹진,인천,중구강화옹진
2280301,인천 동구미추홀갑,인천,동구미추홀갑
2280302,인천 동구미추홀을,인천,동구미추홀을
2280402,인천 연수갑,인천,연수갑
2280403,인천 연수을,인천,연수을
2280501,인천 남동갑,인천,남동갑
2280502,인천 남동을,인천,남동을
2280601,인천 부평갑,인천,부평갑
2280602,인천 부평을,인천,부평을
2280701,인천 계양갑,인천,계양갑
2280702,인천 계양을,인천,계양을
2280802,인천 서구갑,인천,서구갑
2280803,인천 서구을,인천,서구을
2280804,인천 서구병,인천,서구병
2290101,광주 동구남구을,광주,동구남구을
2290201,광주 서구갑,광주,서구갑
2290202,광주 서구을,광주,서구을
2290302,광주 동구남구갑,광주,동구남구갑
2290401,광주 북구갑,광주,북구갑
2290402,광주 북구을,광주,북구을
2290501,광주 광산갑,광주,광산갑
2290502,광주 광산을,광주,광산을
2300101,대전 동구,대전,동구
2300201,대전 중구,대전,중구
2300301,대전 서구갑,대전,서구갑
2300302,대전 서구을,대전,서구을
2300402,대전 유성갑,대전,유성갑
2300403,대전 유성을,대전,유성을
2300501,대전 대덕,대전,대덕
2310101,울산 중구,울산,중구
2310201,울산 남구갑,울산,남구갑
2310202,울산 남구을,울산,남구을
2310301,울산 동구,울산,동구
2310401,울산 북구,울산,북구
2310501,울산 울주,울산,울주
2410101,경기 수원갑,경기,수원갑
2410201,경기 수원을,경기,수원을
2410202,경기 수원무,경기,수원무
2410301,경기 수원병,경기,수원병
2410401,경기 수원정,경기,수원정
2410501,경기 성남수정,경기,성남수정
2410601,경기 성남중원,경기,성남중원
2410701,경기 성남분당갑,경기,성남분당갑
2410702,경기 성남분당을,경기,성남분당을
2410801,경기 의정부갑,경기,의정부갑
2410802,경기 의정부을,경기,의정부을
2410901,경기 안양만안,경기,안양만안
2411001,경기 안양동안갑,경기,안양동안갑
2411002,경기 안양동안을,경기,안양동안을
2411401,경기 광명갑,경기,광명갑
2411402,경기 광명을,경기,광명을
2411501,경기 평택갑,경기,평택갑
2411502,경기 평택을,경기,평택을
2411503,경기 평택병,경기,평택병
2411603,경기 동두천양주연천갑,경기,동두천양주연천갑
2411702,경기 동두천양주연천을,경기,동두천양주연천을
2411803,경기 안산갑,경기,안산갑
2411804,경기 안산을,경기,안산을
2411903,경기 안산병,경기,안산병
2412001,경기 고양갑,경기,고양갑
2412002,경기 고양을,경기,고양을
2412101,경기 고양병,경기,고양병
2412201,경기 고양정,경기,고양정
2412401,경기 의왕과천,경기,의왕과천
2412501,경기 구리,경기,구리
2412601,경기 남양주갑,경기,남양주갑
2412602,경기 남양주을,경기,남양주을
2412603,경기 남양주병,경기,남양주병
2412701,경기 오산,경기,오산
2412901,경기 시흥갑,경기,시흥갑
2412902,경기 시흥을,경기,시흥을
2413002,경기 군포,경기,군포
2413102,경기 하남갑,경기,하남갑
2413103,경기 하남을,경기,하남을
